stiffness
6034.1
6262.84
7721.29
8252.21
8203.57
8378.86
7558.93
8089.43
8215.64
7815.21
7883.07
7367.43
7857.64
8227.36
8460.29
8243.71
7860.29
8116.07
7464
7762.93
8195.86
7864.64
7750.5
6448.04
6338.18
6492.01
7345.21
7631.71
8218.93
8305
5213.86
5383.5
5769.36
5168.11
5634.79
5261.06
5909.41
5605.27
6647.33
6674.57
5564.2
5879.85
5344.21
5112.41
5301.61
4807.4
6899.49
6220.41
6455.7
6451.19
7051.28
6806.55
5691.66
5662.93
4260.28
4053.06
3858.67
3571.69
3928.06
3418.2
6340.73
6129.59
6752.55
7216.43
7624.57
6766.07
6505.44
7013.69
7119.64
6586.65
6620.49
6946.92
5804.68
6575.85
6179.76
6345.07
6395.75
6546.09
7059.86
7300.14
6924.06
6594.39
6785.54
6130.95
7257.07
7729.29
7029.25
6844.56
6881.97
7152.64
7251.21
7163.79
8100.71
7702.14
8241.43
8241.79
7497.93
7350.5
7939.57
7682.71
7354.36
5342.01
8479.93
8048.93
7864.79
7592.43
7169.29
7397.21
7320
6551.19
7215.5
7108.93
7209.07
7154.07
4828.14
4037.24
4345.58
4440.14
2973.56
3848.64
3583.25
3286.5
4788.09
4790.05
5167.94
6088.35
4963.61
5100.68
5570.15
4777.38
5506.66
5502.81
5205.44
6326.19
4520.41
4231.89
4705.53
4356.21
6916.66
7247.5
6730.44
6746.34
6844.9
6466.07
6427.89
7334
6054.59
6231.29
6065.05
6329.16
5674.91
6723.89
6398.98
6512.24
6293.29
6927.64
7455.86
7840
7617.71
7501.71
7346.79
6953.66
5539.11
5901.36
5710.37
6627.81
6514.37
7344.93
6440.81
6131.21
6393.71
5584.86
6590.48
6035.54
7914.64
7998.93
7088.26
7583.36
6400.68
7000.94
6358.76
6800.76
6089.71
7089.03
5645.92
5392.01
7421.57
7121.51
6696.34
7311.71
6514.71
7666.36
6949.89
6889.46
6348.21
6644.9
6776.7
6575.13
6921.6
7136.48
5604.45
6331.21
7554.5
6363.18
7099.91
6901.11
6425
4928.31
5690.81
6312.76
6108.42
6316.66
6135.29
6106.89
6058.08
6734.44
7231.71
7198.5
7171.29
7170.21
7241.86
8521.71
8304.86
7607.14
7997.86
7319.36
7945.64
8392.71
8394.07
8327.71
8354.07
4748.81
4899.74
5807.31
5247.62
4815.05
6217.09
6095.32
5231.64
4937.76
5122.11
5379.68
5012.07
5172.54
5162.59
6256.97
7017.18
7961.57
7830.29
7809.5
7379.64
6673.56
7779.14
6566.33
8243.43
7838.29
8949.5
7748.79
6936.22
6692.18
7031.04
6811.99
6655.89
7329.86
7302.71
6782.14
7865.57
8129.86
6324.66
7645
6268.29
6157.74
4851.53
7747.29
7723.64
7110.12
4101.59
2681.46
3169.47
3135.21
2639.71
3232.99
3920.66
6351.96
5588.35
3920.15
2736.44
2178.1
2418.03
2083.84
3229.84
3308.75
3659.44
3597.62
4800.37
5118.88
5850.94
5423.21
4739.88
4813.52
2971.43
2743.26
5298.11
4038.44
3916.41
3516.24
6316.58
6608.16
7470.57
8380.36
8275.79
6919.99
6477.04
7211.21
7320.93
7639.57
8523.21
6648.47
7430.07
7639.57
7769.71
6652.89
8363.5
7469.29
7945.71
7658.5
7715.5
6383.84
6994.81
6565.64
7462.36
7924.57
7922.36
6139.79
5668.2
6983.5
9558.21
10242.29
10466.86
10189.21
10328.14
10686.93
10889.71
10279.86
9969.21
10033.43
10592.07
10056.43
9539.71
10366.14
10510.14
10797.43
10286.79
10235.14
9854.36
9876.43
10386.93
10004.57
10223.93
10229.29
9618
9665
10248.5
10522
10186.93
9978.71
10190.71
10332.86
9768.57
9430.64
9973.71
10365.71
10422
10447.64
10483.43
10041
9883.21
9969.07
10468
10214.64
10139.79
10850.14
10814.64
10285.43
10429.5
10351.21
9986.64
10095.93
9543.64
10151
9989.71
9578.14
9997.14
10422.21
10430.07
9910.57
9549.14
10272.43
9872.5
10518.86
10091.43
9210
9980.36
10288
10391.36
10574.71
10065.29
9691.64
10102.29
10185.64
10061.79
10388.21
10361.79
10245
10542.93
10111
9660.43
9834.64
9989.64
